Sample Name,Latitude,Longitude
Congla921,30.50638,-84.9080028
Congla922,30.5063755,-84.9081
Congla923,30.5063692,-84.9081
Congla924,30.506362,-84.9081
Congla925,30.5063332,-84.9081
Congla926,30.5062846,-84.9081
Congla927,30.50638,-84.9081081
Congla928,30.50638,-84.9081153
Congla929,30.50638,-84.908145
Congla930,30.50638,-84.9081873
Congla792,30.49664,-84.90507
Congla793,30.4966463,-84.90507
Congla794,30.496649,-84.90507
Congla795,30.4966886,-84.90507
Congla796,30.4967201,-84.90507
Congla797,30.496658,-84.90507
Congla798,30.49664,-84.90506505
Congla800,30.49664,-84.9050565
Congla801,30.49664,-84.9050529
Congla802,30.49664,-84.9050313
Congla803,30.4966373,-84.90507
Congla804,30.4966328,-84.90507
Congla481_rep,30.5011414,-84.92064
Congla806,30.4965527,-84.90507
Congla807,30.496622,-84.90507
Congla808,30.49664,-84.90507405
Congla809,30.49664,-84.9050799
Congla810,30.49664,-84.90509205
Congla811,30.49664,-84.905115
Congla837,30.50006,-84.91011
Congla838,30.5000663,-84.91011
Congla839,30.5000699,-84.91011
Congla840,30.50015225,-84.91011
Congla841,30.5001104,-84.91011
Congla842,30.5000744,-84.91011
Congla843,30.50006,-84.9101019
Congla844,30.50006,-84.9100992
Congla845,30.50006,-84.9100929
Congla846,30.50006,-84.910056
Congla847,30.5000555,-84.91011
Congla848,30.5000519,-84.91011
Congla849,30.5000159,-84.91011
Congla850,30.4999853,-84.91011
Congla851,30.50003912,-84.91011
Congla852,30.50006,-84.91011765
Congla853,30.50006,-84.9101199
Congla854,30.50006,-84.910155
Congla855,30.50006,-84.91019595
Congla856,30.50006,-84.9101289
Congla875,30.50064,-84.90494
Congla876,30.5006445,-84.90494
Congla877,30.500649,-84.90494
Congla878,30.500658,-84.90494
Congla879,30.500685,-84.90494
Congla880,30.50064,-84.9049346
Congla881,30.50064,-84.90493235
Congla882,30.50064,-84.904922
Congla883,30.50064,-84.9048959
Congla884,30.50064,-84.904796
Congla885,30.5006373,-84.90494
Congla886,30.50062785,-84.90494
Congla887,30.500613,-84.90494
Congla888,30.5005977,-84.90494
Congla889,30.50064,-84.9049454
Congla890,30.50064,-84.904949
Congla891,30.50064,-84.9049553
Congla892,30.50064,-84.904985
Congla893,30.50455,-84.91118
Congla894,30.50456215,-84.91118
Congla895,30.5045707,-84.91118
Congla896,30.504595,-84.91118
Congla897,30.5046553,-84.91118
Congla898,30.50455,-84.9111764
Congla899,30.50455,-84.9111719
Congla900,30.50455,-84.9111584
Congla901,30.50455,-84.9111305
Congla904,30.5045347,-84.91118
Congla905,30.5045077,-84.91118
Congla906,30.5044366,-84.91118
Congla907,30.50455,-84.911189
Congla908,30.50455,-84.911198
Congla909,30.50455,-84.911225
Congla910,30.50455,-84.9112583
Congla373,30.51423,-84.91371
Congla388,30.5142327,-84.91371
Congla374,30.51424273,-84.91372273
Congla375,30.5142642,-84.91371
Congla376,30.51423,-84.91370685
Congla378,30.51423,-84.91369515
Congla379,30.51423,-84.913692
Congla380,30.51423,-84.913656
Congla377,30.51422235,-84.91371
Congla381,30.5142192,-84.91371
Congla382,30.5142147,-84.91371
Congla383,30.51418927,-84.91366927
Congla384,30.51423,-84.91371585
Congla385,30.51423,-84.913719
Congla386,30.51423,-84.9137289
Congla387,30.51423,-84.9137379
Congla968,30.51268,-84.91259
Congla969,30.5126854,-84.91259
Congla970,30.5126899,-84.91259
Congla971,30.5126998,-84.91259
Congla972,30.5127331,-84.91259
Congla973,30.5127583,-84.91259
Congla974,30.51268,-84.9125864
Congla975,30.51268,-84.9125828
Congla976,30.51268,-84.9125702
Congla977,30.51268,-84.912545
Congla978,30.51268,-84.9125198
Congla979,30.51267235,-84.91259
Congla366,30.5126692,-84.91259
Congla367,30.5126629,-84.91259
Congla368,30.51268,-84.9125945
Congla369,30.51268,-84.9125999
Congla370,30.51269782,-84.91260782
Congla371,30.51268,-84.9126314
Congla372,30.51268,-84.91268
Congla624,30.512,-84.90869
Congla625,30.51200675,-84.90869
Congla626,30.51201035,-84.90869
Congla627,30.512036,-84.90869
Congla629,30.5120954,-84.90869
Congla630,30.51201527,-84.90867473
Congla631,30.51202005,-84.90866995
Congla632,30.512021,-84.908669
Congla633,30.51202927,-84.90866073
Congla634,30.51208655,-84.90860345
Congla635,30.51199809,-84.90868809
Congla636,30.51199173,-84.90868173
Congla637,30.51198473,-84.90867473
Congla638,30.51198218,-84.90867218
Congla639,30.511944,-84.908634
Congla628,30.512,-84.908699
Congla640,30.512,-84.9087044
Congla641,30.512,-84.9087134
Congla642,30.512,-84.9087386
Congla643,30.512,-84.9087782
Congla755,30.51044,-84.90685
Congla756,30.5104463,-84.90685
Congla757,30.510449,-84.90685
Congla758,30.510458,-84.90685
Congla759,30.51048545,-84.90685
Congla739,30.5105192,-84.90685
Congla740,30.51044191,-84.90684809
Congla741,30.51044445,-84.90684555
Congla742,30.51044827,-84.90684173
Congla743,30.51047182,-84.90681818
Congla744,30.51049409,-84.90679591
Congla745,30.5104319,-84.90685
Congla746,30.51038105,-84.90685
Congla747,30.5103797,-84.90685
Congla748,30.5103725,-84.90685
Congla749,30.5103644,-84.90685
Congla750,30.51044,-84.9068617
Congla751,30.51044,-84.90686305
Congla752,30.51044,-84.906877
Congla753,30.51044,-84.9069022
Congla754,30.51044,-84.9069409
Congla704,30.5121781,-84.90372
Congla720,30.5121835,-84.90372
Congla721,30.5121907,-84.90372
Congla722,30.5122132,-84.90372
Congla723,30.5122357,-84.90372
Congla724,30.51217,-84.9037155
Congla725,30.51217,-84.9037083
Congla726,30.51217,-84.9036975
Congla727,30.51217,-84.9036849
Congla728,30.51217,-84.9036048
Congla729,30.5121664,-84.90372
Congla730,30.5121583,-84.90372
Congla731,30.5121466,-84.90372
Congla732,30.5121439,-84.90372
Congla733,30.512107,-84.90372
Congla734,30.51217,-84.9037452
Congla735,30.51217,-84.9037515
Congla736,30.51217,-84.9037578
Congla737,30.51217,-84.9037785
Congla738,30.51217,-84.903837
Congla210,30.49482,-84.9154
Congla211,30.49482,-84.9154
Congla212,30.49482,-84.9154
Congla213,30.49482,-84.9154
Congla214,30.49482,-84.9154
Congla215,30.4949149,-84.91539
Congla216,30.4949149,-84.91539
Congla217,30.4949149,-84.91539
Congla218,30.4949149,-84.91539
Congla219,30.4949149,-84.91539
Congla236,30.49491,-84.9152581
Congla224,30.49491,-84.9152581
Congla225,30.49491,-84.9152581
Congla226,30.49491,-84.9152581
Congla227,30.4946219,-84.91532
Congla237,30.4946219,-84.91532
Congla228,30.4946219,-84.91532
Congla229,30.4946219,-84.91532
Congla230,30.49491,-84.9152581
Congla231,30.4946219,-84.91532
Congla238,30.4948,-84.91561
Congla239,30.4948,-84.91561
Congla240,30.4948,-84.91561
Congla241,30.4948,-84.91561
Congla242,30.4948,-84.91561
Congla949,30.50807,-84.90295
Congla950,30.50807,-84.90295
Congla951,30.50807,-84.90295
Congla952,30.50807,-84.90295
Congla953,30.50807,-84.90295
Congla954,30.50807,-84.9028141
Congla955,30.50807,-84.9028141
Congla956,30.50807,-84.9028141
Congla957,30.50807,-84.9028141
Congla958,30.50807,-84.9028141
Congla959,30.50807,-84.9031012
Congla960,30.50807,-84.9031012
Congla961,30.50807,-84.9031012
Congla962,30.50807,-84.9031012
Congla963,30.50807,-84.9031012
Congla812,30.49748,-84.90631
Congla813,30.49748,-84.90631
Congla814,30.49748,-84.90631
Congla815,30.49748,-84.90631
Congla816,30.49748,-84.90631
Congla817,30.497552,-84.90631
Congla818,30.497552,-84.90631
Congla819,30.497552,-84.90631
Congla820,30.497552,-84.90631
Congla821,30.497552,-84.90631
Congla822,30.49748,-84.9062272
Congla823,30.49748,-84.9062272
Congla824,30.49748,-84.9062272
Congla825,30.49748,-84.9062272
Congla826,30.49748,-84.9062272
Congla827,30.49748,-84.9062272
Congla828,30.497444,-84.90631
Congla829,30.497444,-84.90631
Congla830,30.497444,-84.90631
Congla831,30.497444,-84.90631
Congla832,30.49754364,-84.90637364
Congla833,30.49754364,-84.90637364
Congla834,30.49754364,-84.90637364
Congla835,30.49754364,-84.90637364
Congla836,30.49754364,-84.90637364
Congla857,30.5041,-84.90424
Congla858,30.5041,-84.90424
Congla859,30.504136,-84.90424
Congla860,30.504136,-84.90424
Congla861,30.504136,-84.90424
Congla862,30.504136,-84.90424
Congla863,30.5041,-84.90415
Congla864,30.5041,-84.90415
Congla865,30.5041,-84.90415
Congla866,30.5041,-84.90415
Congla867,30.5041,-84.90415
Congla868,30.50407795,-84.90424
Congla869,30.50407795,-84.90424
Congla870,30.50407795,-84.90424
Congla871,30.50407795,-84.90424
Congla872,30.5041,-84.90426565
Congla873,30.5041,-84.9042589
Congla874,30.5041,-84.9042751
Congla902,30.50455,-84.91109
Congla903,30.504541,-84.91118
Congla696,30.504202,-84.93334
Congla697,30.504175,-84.93334
Congla698,30.50413,-84.93334
