"","Sample","decimalLatitude","decimalLongitude"
"280","TV2030",37.4326,-115.4386
"281","TV2038",37.4322,-115.4478
"282","TV2040",37.4325,-115.4479
"283","TV2041",37.4324,-115.4479
"284","TV2043",37.4323,-115.448
"285","TV2046",37.4325,-115.4481
"286","TV2047",37.4325,-115.4479
"287","TV2048",37.4326,-115.4479
"288","TV2049",37.4326,-115.4479
"289","TV2051",37.4323,-115.4476
"291","TV2054",37.4335,-115.4562
"292","TV2064",37.4336,-115.4557
"293","TV2070",37.4346,-115.4646
"294","TV2077",37.4361,-115.4728
"296","TV2079",37.436,-115.473
"297","TV2084",37.4361,-115.4725
"298","TV2086",37.4363,-115.4727
"299","TV2087",37.4363,-115.4728
"300","TV2251",37.4199,-115.4197
"302","TV2255",37.4203,-115.4197
"303","TV2256",37.4202,-115.4196
"304","TV2260",37.4198,-115.4193
"305","TV2263",37.4198,-115.4278
"306","TV2264",37.4194,-115.428
"307","TV2265",37.4196,-115.4283
"308","TV2266",37.4196,-115.4283
"309","TV2267",37.4192,-115.4368
"310","TV2269",37.4194,-115.4364
"311","TV2274",37.4196,-115.4451
"312","TV2276",37.4196,-115.4452
"313","TV2279",37.4192,-115.4452
"314","TV2280",37.4193,-115.445
"315","TV2287",37.4196,-115.4538
"316","TV2292",37.4193,-115.4537
"317","TV2294",37.4194,-115.4532
"318","TV2297",37.4197,-115.4533
"319","TV2305",37.4197,-115.4623
"320","TV2505",37.4103,-115.4068
"321","TV2512",37.4102,-115.458
"322","TV2754",37.4018,-115.4064
"323","TV2763",37.4016,-115.4069
"324","TV2767",37.4019,-115.4067
"325","TV2768",37.402,-115.4066
"326","TV2769",37.4021,-115.4065
"327","TV2778",37.4018,-115.4149
"328","TV2779",37.4016,-115.415
"329","TV2780",37.4016,-115.4153
"330","TV2789",37.4021,-115.4149
"332","TV2793",37.4019,-115.4232
"333","TV2801",37.4018,-115.4317
"334","TV2811",37.4018,-115.4404
"69","MB0001",37.4292,-115.5534
"70","MB0003",37.4278,-115.5554
"75","MB0008",37.425,-115.5542
"79","MB0012",37.423,-115.5564
"81","MB0014",37.4229,-115.5572
"83","MB0016",37.4332,-115.5559
"84","MB0017",37.4233,-115.5583
"85","MB0018",37.4333,-115.5561
"86","MB0019",37.4308,-115.5564
"87","MB0020",37.4273,-115.5542
"88","MB0021",37.4263,-115.5508
"90","MB0023",37.4264,-115.5504
"91","MB0024",37.4229,-115.5479
"92","MB0025",37.4231,-115.546
"93","MB0112",37.4258,-115.549
"94","MB0120",37.4257,-115.5492
"95","MB0121",37.4253,-115.5489
"96","MB0122",37.4258,-115.5492
"97","MB0123",37.4253,-115.549
"98","MB0124",37.4258,-115.5494
"99","MB0125",37.4254,-115.5491
"100","MB0128",37.4254,-115.5494
"71","MB0004",37.4258,-115.5538
"72","MB0005",37.4275,-115.5558
"73","MB0006",37.425,-115.5537
"74","MB0007",37.4268,-115.5563
"76","MB0009",37.4266,-115.5565
"77","MB0010",37.4232,-115.5562
"78","MB0011",37.4263,-115.5571
"80","MB0013",37.4243,-115.5576
"89","MB0022",37.4265,-115.5505
"101","MR0001",37.3874,-115.5252
"102","MR0002",37.3941,-115.5154
"103","MR0004",37.394,-115.5156
"104","MR0006",37.3941,-115.5152
"105","MR0007",37.394,-115.5151
"106","MR0009",37.3942,-115.5295
"107","MR0016",37.4048,-115.5352
"108","MR0022",37.4046,-115.535
"109","MR0026",37.4048,-115.5348
"110","MR0028",37.405,-115.5348
"111","MR0031",37.4119,-115.5164
"112","MR0040",37.412,-115.5291
"113","MR0042",37.4116,-115.5404
"114","MR0043",37.4116,-115.5404
"115","MR0050",37.412,-115.5404
"117","MR0053",37.4119,-115.5407
"118","MR0054",37.4119,-115.5406
