Tree,Lat,Lat_deg,Lon,Lon_deg
MB0005,37,25.652,115,33.349
MB0006,37,25.497,115,33.223
MB0007,37,25.606,115,33.379
MB0008,37,25.501,115,33.253
MB0009,37,25.597,115,33.391
MB0010,37,25.391,115,33.371
MB0011,37,25.577,115,33.425
MB0012,37,25.382,115,33.382
MB0013,37,25.456,115,33.456
MB0014,37,25.372,115,33.435
MB0015,37,25.437,115,33.49
MB0016,37,25.993,115,33.351
MB0017,37,25.396,115,33.499
MB0018,37,25.998,115,33.365
MB0019,37,25.849,115,33.383
MB0020,37,25.638,115,33.254
MB0021,37,25.576,115,33.046
MB0022,37,25.591,115,33.03
MB0023,37,25.586,115,33.025
MB0024,37,25.375,115,32.872
MB0025,37,25.383,115,32.759
MB0112,37,25.546,115,32.942
MB0120,37,25.543,115,32.955
MB0121,37,25.517,115,32.934
MB0122,37,25.548,115,32.953
MB0123,37,25.52,115,32.941
MB0124,37,25.551,115,32.961
MB0125,37,25.525,115,32.948
MB0128,37,25.525,115,32.964
MR0001,37,23.246,115,31.513
MR0002,37,23.644,115,30.925
MR0004,37,23.643,115,30.938
MR0006,37,23.645,115,30.913
MR0007,37,23.643,115,30.905
MR0009,37,23.651,115,31.771
MR0016,37,24.286,115,32.114
MR0022,37,24.273,115,32.1
MR0026,37,24.287,115,32.086
MR0028,37,24.302,115,32.087
MR0031,37,24.714,115,30.981
MR0040,37,24.72,115,31.746
MR0042,37,24.695,115,32.424
MR0043,37,24.694,115,32.424
MR0050,37,24.719,115,32.426
MR0052,37,24.721,115,32.434
MR0053,37,24.714,115,32.444
MR0054,37,24.714,115,32.434
MR0055,37,24.708,115,32.442
MR0057,37,24.703,115,32.446
MR0058,37,24.71,115,32.446
MR0062,37,24.291,115,31.409
MR0064,37,24.273,115,31.382
PV0001,37,27.754,115,20.343
PV0002,37,27.708,115,20.288
PV0003,37,27.555,115,20.239
PV0004,37,27.611,115,20.171
PV0007,37,27.611,115,20.171
PV0008,37,27.611,115,20.171
PV0010,37,27.611,115,20.171
PV0012,37,27.611,115,20.171
TV0369,37,28.857,115,30.375
TV0399,37,28.501,115,30.061
TV0400,37,28.501,115,30.076
TV0480,37,28.141,115,29.792
TV0516,37,27.5,115,29.859
TV0532,37,27.623,115,29.954
TV0537,37,27.713,115,30.105
TV0545,37,27.81,115,30.202
TV0571,37,28.048,115,30.419
TV0574,37,27.91,115,30.307
TV0575,37,28.017,115,30.405
TV0576,37,27.906,115,30.311
TV0582,37,28.053,115,30.374
TV0585,37,28.354,115,29.543
TV0586,37,28.015,115,30.393
TV0600,37,28.358,115,29.581
TV0610,37,28.333,115,29.605
TV0658,37,28.076,115,29.607
TV0720,37,28.339,115,29.791
TV0795,37,27.582,115,29.806
TV0893,37,28.108,115,29.639
TV0895,37,28.128,115,29.66
TV0899,37,28.211,115,29.778
TV0907,37,27.615,115,29.893
TV0952,37,27.924,115,30.072
TV0976,37,27.412,115,28.534
TV0977,37,27.465,115,28.357
TV1095,37,26.461,115,26.714
TV1118,37,28.977,115,30.532
TV1119,37,28.831,115,30.745
TV1132,37,28.637,115,30.492
TV1134,37,28.527,115,30.561
TV1136,37,28.518,115,30.353
TV1137,37,28.468,115,29.878
TV1141,37,28.488,115,29.824
TV1147,37,28.528,115,29.706
TV1151,37,28.601,115,29.774
TV1161,37,28.065,115,29.767
TV1162,37,28.299,115,30.096
TV1165,37,28.075,115,29.73
TV1166,37,28.285,115,30.083
TV1170,37,28.24,115,30.101
TV1172,37,28.227,115,30.01
TV1174,37,28.238,115,30.019
TV1176,37,28.233,115,30.005
TV1178,37,28.222,115,29.991
TV1179,37,28.142,115,29.668
TV1180,37,28.243,115,29.97
TV1182,37,28.221,115,29.961
TV1183,37,28.141,115,29.637
TV1184,37,28.263,115,29.946
TV1185,37,28.165,115,29.708
TV1186,37,28.271,115,29.945
TV1189,37,28.179,115,29.619
TV1190,37,28.313,115,29.961
TV1193,37,28.148,115,29.542
TV1194,37,28.295,115,29.965
TV1196,37,28.321,115,29.955
TV1203,37,28.298,115,29.349
TV1218,37,27.983,115,29.623
TV1219,37,28.148,115,29.848
TV1221,37,28.13,115,29.819
TV1225,37,28.182,115,29.745
TV1227,37,28.229,115,29.696
TV1229,37,28.212,115,29.686
TV1230,37,28.043,115,29.571
TV1239,37,28.226,115,29.611
TV1243,37,28.266,115,29.498
TV1244,37,28.211,115,29.337
TV1246,37,28.258,115,29.397
TV1249,37,28.487,115,29.514
TV1251,37,28.476,115,29.575
TV1253,37,28.505,115,29.596
TV1255,37,28.505,115,29.58
TV1257,37,28.555,115,29.621
TV1258,37,28.032,115,29.494
TV1259,37,28.498,115,29.624
TV1261,37,28.5,115,29.733
TV1263,37,28.516,115,29.678
TV1265,37,28.547,115,29.819
TV1267,37,28.454,115,29.69
TV1271,37,28.455,115,29.717
TV1273,37,28.414,115,29.904
TV1283,37,28.322,115,29.715
TV1289,37,27.893,115,29.926
TV1297,37,27.834,115,29.983
TV1303,37,27.823,115,29.999
TV1304,37,27.598,115,30.299
TV1306,37,27.563,115,30.307
TV1318,37,27.71,115,29.941
TV1320,37,27.729,115,29.939
TV1323,37,27.444,115,30.213
TV1327,37,27.466,115,30.132
TV1329,37,27.494,115,30.109
TV1331,37,27.549,115,30.116
TV1333,37,27.586,115,30.073
TV1340,37,28.084,115,29.805
TV1341,37,27.614,115,30.014
TV1343,37,27.621,115,29.983
TV1344,37,27.736,115,29.77
TV1348,37,27.719,115,29.823
TV1351,37,27.685,115,29.916
TV1354,37,27.566,115,30.009
TV1355,37,27.763,115,29.872
TV1370,37,27.562,115,29.907
TV1402,37,27.615,115,29.92
TV1405,37,28.283,115,29.5
TV1409,37,27.583,115,29.929
TV1410,37,27.696,115,30.319
TV1412,37,27.585,115,30.001
TV1415,37,26.009,115,27.742
TV1416,37,27.956,115,29.794
TV1417,37,26.176,115,27.51
TV1418,37,26.233,115,27.486
TV1419,37,26.115,115,27.355
TV1421,37,26.556,115,27.483
TV1423,37,26.452,115,27.362
TV1431,37,26.518,115,27.335
TV1500,37,27.222,115,28.542
TV1501,37,27.23,115,28.583
TV1502,37,27.527,115,28.732
TV1504,37,27.72,115,28.603
TV1505,37,27.759,115,28.688
TV1506,37,27.778,115,28.677
TV1507,37,27.886,115,28.636
TV1509,37,27.853,115,28.458
TV1511A,37,27.942,115,29.124
TV1513,37,27.965,115,28.824
TV1514,37,27.846,115,28.739
TV1515,37,27.846,115,28.74
TV1516,37,28.253,115,28.739
TV1517,37,28.198,115,28.327
TV1518,37,28.368,115,28.602
TV1519,37,28.638,115,28.716
TV1520,37,28.661,115,28.748
TV1521,37,28.824,115,30.254
TV2001,37,25.965,115,25.822
TV2002,37,25.964,115,25.821
TV2007,37,25.947,115,25.832
TV2011,37,25.965,115,25.849
TV2012,37,25.965,115,25.845
TV2013,37,25.965,115,25.843
TV2021,37,25.975,115,25.822
TV2022,37,25.968,115,25.822
TV2023,37,25.975,115,25.815
TV2025,37,25.965,115,25.807
TV2028,37,25.965,115,25.806
TV2029,37,25.964,115,25.807
TV2030,37,25.958,115,26.317
TV2038,37,25.93,115,26.868
TV2040,37,25.947,115,26.872
TV2041,37,25.944,115,26.874
TV2043,37,25.938,115,26.883
TV2046,37,25.949,115,26.886
TV2047,37,25.949,115,26.875
TV2048,37,25.955,115,26.875
TV2049,37,25.955,115,26.875
TV2051,37,25.935,115,26.853
TV2053,37,26.018,115,27.374
TV2054,37,26.009,115,27.372
TV2064,37,26.015,115,27.344
TV2070,37,26.078,115,27.876
TV2077,37,26.167,115,28.368
TV2078,37,26.162,115,28.377
TV2079,37,26.161,115,28.381
TV2084,37,26.167,115,28.352
TV2086,37,26.177,115,28.364
TV2087,37,26.179,115,28.365
TV2251,37,25.194,115,25.183
TV2252,37,25.2,115,25.188
TV2255,37,25.215,115,25.18
TV2256,37,25.213,115,25.177
TV2260,37,25.186,115,25.161
TV2263,37,25.187,115,25.669
TV2264,37,25.167,115,25.678
TV2265,37,25.177,115,25.7
TV2266,37,25.177,115,25.7
TV2267,37,25.154,115,26.209
TV2269,37,25.163,115,26.184
TV2274,37,25.173,115,26.706
TV2276,37,25.173,115,26.715
TV2279,37,25.153,115,26.711
TV2280,37,25.158,115,26.7
TV2287,37,25.178,115,27.231
TV2292,37,25.157,115,27.221
TV2294,37,25.165,115,27.194
TV2297,37,25.183,115,27.196
TV2305,37,25.183,115,27.74
TV2505,37,24.619,115,24.408
TV2512,37,24.613,115,27.48
TV2754,37,24.107,115,24.381
TV2763,37,24.099,115,24.414
TV2767,37,24.114,115,24.4
TV2768,37,24.118,115,24.395
TV2769,37,24.127,115,24.389
TV2778,37,24.109,115,24.892
TV2779,37,24.099,115,24.902
TV2780,37,24.099,115,24.917
TV2789,37,24.128,115,24.892
TV2791,37,24.118,115,25.412
TV2793,37,24.114,115,25.393
TV2801,37,24.109,115,25.903
TV2811,37,24.106,115,26.426
TVS0202,37,21.907,115,32.197
TVS0203,37,21.418,115,32.011
TVS0204,37,21.37,115,32.025
TVS0205,37,21.365,115,32.008
TVS0206,37,20.929,115,31.917
TVS0207,37,20.812,115,31.78
TVS0208,37,20.794,115,31.842
TVS0209,37,20.784,115,31.838
TVS0210,37,20.71,115,32.219
TVS0211,37,20.911,115,32.291
TVS101a,37,22.322,115,31.342
TVS102a,37,22.238,115,31.303
TVS103a,37,22.376,115,30.975
