Sample Name,Latitude,Longitude
TRR3,41.10861,-123.686
YJS3,44.95111,-114.584
TRR2,41.10861,-123.686
TRR1,41.10861,-123.686
YJS4,44.95111,-114.584
16_LAU_3_N1,53.84003,-166.448
SHC2,35.71223,-117.92
15_SNB_3_3,45.69126,-65.82
10_CER_25_N1,53.00598,-3.54927
15_SNB_3_1,45.69126,-65.82
SHC1,35.71223,-117.92
15_SNB_3_2,45.69126,-65.82
16_AMS_10_N1_B,54.13395,-165.777
14_BRI_14_N3,56.1557,-3.9512
14_BRI_14_N2,56.1557,-3.9512
10_HOU_13_N1,51.09699,-1.5084
11_09_DBL_4_2,56.187,-3.965
RFA3,46.63083,-123.231
16_PTR_8_N1,53.84158,-166.521
13_FER_N4,55.8256,-5.0235
13_FER_N2,55.8256,-5.0235
11_09_DBL_5_3,56.187,-3.965
13_FER_N1,55.8256,-5.0235
TAR3,40.85252,-122.866
10_SEL_1_N1,55.55088,-2.85027
BEP1,44.09,-110.72
10_ETT_8_N1,55.53803,-2.87426
16_DHS_22_A2,53.90448,-166.511
16_SLS_48_N1,53.8836,-166.454
10_COL_31_N1,55.65495,-2.24009
16_KFC_19_N1,57.77976,-152.445
16_ANT_107_N1,57.86179,-152.652
11_09_DBL_3_1b,56.187,-3.965
11_DBL_1_1,56.187,-3.965
10_BAL_24_N1,57.23748,-2.06385
M2L4,39.8744,-122.634
11_DBL_1_2,56.187,-3.965
KAP1,37.27961,-119.105
13_KAK_bulk_A1,-42.46,173.24
14_BOG_5_N1,50.79727,-0.69825
16_VAL_15_N1,61.11868,-145.684
13_DRN_51_N1,58.56763,-4.73794
MIY1,39.39442,-121.083
MIY2,39.39442,-121.083
MIY3,39.39442,-121.083
14_DAL_9_N1,57.68261,-4.26526
16_FPA_44_N1,54.86072,-163.416
11_DBL_19_N1_B,56.187,-3.965
SWB19,39.03611,-123.691
CAN68,36.0689,-121.552
LOR17,37.13419,-122.126
BOG7,41.92389,-118.804
BOG5,41.92389,-118.804
15_SNB_1_3,45.69126,-65.82
15_SNB_1_1,45.69126,-65.82
15_SNB_1_2,45.69126,-65.82
10_HAM_24_N1,60.5034,-1.09931
10_SEL_2_N1,55.55088,-2.85027
BSR132,40.52952,-124.163
BSR131,40.52952,-124.163
14_BRI_14_N3_B,56.1557,-3.9512
16_VPT_5_N1,61.11747,-145.777
BCB21,36.06285,-121.592
14_HUN_1_N1,50.81071,-0.78888
LOR29,37.13419,-122.126
BCB28,36.06285,-121.592
LOR25,37.13419,-122.126
16_DHS_22_N1_B,53.90448,-166.511
14_GLA_2_N1,55.8724,-4.28113
14_GLA_2_N3,55.8724,-4.28113
OPB6,42.46389,-124.423
14_GLA_2_N2,55.8724,-4.28113
02_V142998_7_N2,59.02,-155.85
02_V142998_7_N1,59.02,-155.85
OPB3,42.46389,-124.423
14_CAR_N4,57.92376,-4.40861
10_WOL_1_N1,54.72694,-1.88793
SWB38,39.03611,-123.691
14_CAR_N3,57.92376,-4.40861
SWB36,39.03611,-123.691
10_CER_26_N1,53.00598,-3.54927
BCB30,36.06285,-121.592
14_CAR_N1,57.92376,-4.40861
13_AMB_N4,-43.17,172.77
14_BOG_4_N1,50.79727,-0.69825
16_MFM_200_N1,57.79456,-152.595
13_AMB_N1,-43.17,172.77
10_DBL_14,56.187,-3.965
13_AMB_N2,-43.17,172.77
10_COL_35_N1,55.65495,-2.24009
13_AMB_N3,-43.17,172.77
NOF1,39.24753,-120.324
KLM23,41.27028,-123.606
KLM25,41.27028,-123.606
KIC3,32.76153,-116.452
KIC2,32.76153,-116.452
KIC1,32.76153,-116.452
16_UNA_2_N1,53.8698,-166.446
ORO55,35.27333,-120.889
ORO51,35.27333,-120.889
11_09_DBL_1_3,56.187,-3.965
11_09_DBL_1_2,56.187,-3.965
11_09_DBL_1_1,56.187,-3.965
16_PTR_6_N1,53.84158,-166.521
16_FOS_2_N1,57.42559,-152.35
14_HUN_3_N1,50.81071,-0.78888
13_MOS_N1,-41.04,172.92
10_MUK_26_N1,60.34808,-1.41373
15_OTO_2_2,46.61653,-89.4282
13_MOS_N2,-41.04,172.92
15_OTO_2_1,46.61653,-89.4282
11_09_DBL_4_3b,56.187,-3.965
15_OTO_2_3,46.61653,-89.4282
10_TU6_6_N1,56.65369,-3.67581
16_CTA_28_N1,60.81934,-149.151
14_LAG_39_A,56.98585,-4.40993
10_HAM_29_N1,60.5034,-1.09931
10_HAM_29_N2,60.5034,-1.09931
13_MOS_N3,-41.04,172.92
FRC2,33.35229,-116.914
13_MOS_N4,-41.04,172.92
FRC1,33.35229,-116.914
14_DEA_1_N1,50.90451,-0.77972
FRC3,33.35229,-116.914
10_ALA_7_N1,56.16486,-3.95232
FGP1,35.46915,-118.752
14_TCO_1_N2_B,50.49812,-4.4656
FGP3,35.46915,-118.752
12_DUD_44_N3_B,-45.88,170.59
10_TU6_7_N1,56.65369,-3.67581
16_PTR_5_N1,53.84158,-166.521
16_PTR_5_N2,53.84158,-166.521
15_BAS_2_3,46.5484,-65.1101
14_STI_20_N2,56.13,-3.964
14_STI_20_N1,56.13,-3.964
SKZ38,48.7825,-123.953
ORO31,35.27333,-120.889
14_STI_9_N1,56.13,-3.964
CDR5,35.50008,-118.694
CDR4,35.50008,-118.694
10_DUR_1_N1,58.56842,-4.74708
CDR2,35.50008,-118.694
ICS24,44.40722,-122.137
IM10,44.40083,-122.151
15_OTO_1_1,46.61653,-89.4282
ALI8,31.2,-111.06
15_OTO_1_3,46.61653,-89.4282
15_OTO_1_2,46.61653,-89.4282
12_DUD_32_N5_B,-45.88,170.59
CLC4,35.57347,-118.531
CLC3,35.57347,-118.531
CLC2,35.57347,-118.531
EAF2,36.46296,-118.633
ALI5,31.2,-111.06
EAF3,36.46296,-118.633
STB7,37.89139,-122.635
15_BAS_1_1,46.5484,-65.1101
ORO24,35.27333,-120.889
SKZ27,48.7825,-123.953
15_BAS_1_3,46.5484,-65.1101
15_BAS_1_2,46.5484,-65.1101
10_SEL_3e_N1,55.55088,-2.85027
12_DUD_32_N5,-45.88,170.59
ORO20,35.27333,-120.889
14_TCO_1_N1,50.49812,-4.4656
16_CTA_27_N1,60.81934,-149.151
GEI11,42.49048,-124.419
10_ALA_5_N1,56.16486,-3.95232
GEI12,42.49048,-124.419
10_MUK_25_N1,60.34808,-1.41373
12_CHR_8_N1_B,-43.46,172.38
10_DUM_16_N1,55.06738,-3.61335
10_TU6_5_N1,56.65369,-3.67581
16_EBR_63_N1,53.90033,-166.466
14_DAL_24_N1,57.68261,-4.26526
15_BAS_3_3,46.5484,-65.1101
15_BAS_3_2,46.5484,-65.1101
11_DBL_7_N1,56.187,-3.965
10_COL_45_N1,55.65495,-2.24009
11_09_DBL_3_3,56.187,-3.965
11_09_DBL_3_1,56.187,-3.965
10_DUR_3_N1,58.56842,-4.74708
FHS1,38.3531,-119.406
16_SLS_47_N1,53.8836,-166.454
FHS2,38.3531,-119.406
FHS3,38.3531,-119.406
16_FPA_26_N1,54.86072,-163.416
10_TOM_3_N1,57.25499,-3.36777
11_09_DBL_4_4,56.187,-3.965
11_09_DBL_4_3,56.187,-3.965
SVH4,41.61556,-120.104
16_DHS_24_N1,53.90448,-166.511
SVH2,41.61556,-120.104
16_UNA_1_N1,53.8698,-166.446
15_BAS_2_2,46.5484,-65.1101
15_BAS_2_1,46.5484,-65.1101
10_HOU_16_N1,51.09699,-1.5084
14_TCO_3_N1,50.49812,-4.4656
SVH5,41.61556,-120.104
10_NIN_23_N1,59.97777,-1.30036
16_LAU_7_N1,53.84003,-166.448
16_SDP_32_N1,55.32946,-160.502
16_PTL_302_N1,53.8433,-166.396
16_PTL_302_N2,53.8433,-166.396
PCL3,53.68889,-132.184
12_CHR_13_N1,-43.46,172.38
16_SLS_46_N1,53.8836,-166.454
16_MFM_107_N1,57.79456,-152.595
16_OSO_4_N1,57.20705,-154.067
10_ETT_9_N1,55.53803,-2.87426
11_09_DBL_2_3,56.187,-3.965
11_09_DBL_2_2,56.187,-3.965
14_MAR_17_N1,57.5723,-4.4274
16_FOS_4_N1,57.42559,-152.35
16_KCG_10_N1,57.73552,-152.518
11_09_DBL_3_4,56.187,-3.965
13_BRA_10_N1,52.7681,1.29785
13_MOS_bulk_A1,-41.04,172.92
16_SDP_6_N1,55.32946,-160.502
14_MAR_17_N2_B,57.5723,-4.4274
15_BAS_3_1,46.5484,-65.1101
14_DEA_3_N1,50.90451,-0.77972
BOG10,41.92389,-118.804
RGR15,42.48917,-124.208
13_VFC_1_N1,49.34516,-124.36
WPV2,39.59383,-123.785
14_MAR_17_N2,57.5723,-4.4274
10_ESH_1_N1,60.48631,-1.61263
10_ESH_1_N2,60.48631,-1.61263
14_MAR_17_N3,57.5723,-4.4274
16_VCC_2_N1,61.13814,-146.332
12_OTA_1_N1_B,-45.861,170.64
16_OSO_3_N1,57.20705,-154.067
13_SKA_N1,62.19917,-6.85528
WMO2,34.28508,-117.374
WMO3,34.28508,-117.374
10_WOL_18_N1,54.72694,-1.88793
16_AKC_14_N1,55.05603,-162.328
13_SKA_N4,62.19917,-6.85528
13_SKA_N3,62.19917,-6.85528
10_AYR_18_N1,55.4612,-4.62528
HOC25,47.3854,-123.147
16_EBR_61_N1,53.90033,-166.466
16_DHS_23_N1,53.90448,-166.511
SGR4,34.03639,-118.033
STB18,37.89139,-122.635
SGR5,34.03639,-118.033
SGR2,34.03639,-118.033
SKZ6,48.7825,-123.953
16_VAT_5_N1,61.11486,-145.727
HOC17,47.3854,-123.147
10_ALA_4_N1,56.16486,-3.95232
16_CTA_26_N1,60.81934,-149.151
MIF1,39.00674,-120.748
16_FOS_10_N1,57.42559,-152.35
00_ATT_N3,52.89,-172.89
00_ATT_N2,52.89,-172.89
00_ATT_N1,52.89,-172.89
13_VFC_2_N1,49.34516,-124.36
14_CRO_11_N1,50.16293,-5.29331
14_TIL_1_N1,56.1473,-3.74477
10_NIN_5_N1,59.97777,-1.30036
HOC26,47.3854,-123.147
16_ALP_117_N1,57.8124,-152.615
HAM19,47.56518,-123.032
12_DUD_44_N2_B,-45.88,170.59
17_VKL_9_1,47.84194,8.958392
17_VKL_9_2,47.84194,8.958392
13_LOM_35_N2,56.12926,-4.61327
17_VKL_9_3,47.84194,8.958392
13_LOM_35_N1,56.12926,-4.61327
10_BOD_3_N1,59.90418,-1.30274
16_OSO_2_N1,57.20705,-154.067
IM6,44.40083,-122.151
CAT11,45.38972,-117.23
OZF10,38.95583,-123.66
13_BKN_55_N1,58.5759,-4.76774
IHR8,38.81745,-120.374
16_ZEN_2_N1,53.84306,-166.388
HEC22,44.13506,-124.123
HEC23,44.13506,-124.123
HEC20,44.13506,-124.123
14_DEA_5_N1,50.90451,-0.77972
10_ESH_2_N1,60.48631,-1.61263
NKL2,50.35833,-126.931
16_SZA_90_N1,57.45567,-152.45
17_VKL_8_1,47.84194,8.958392
16_ZEN_1_N1,53.84306,-166.388
RFA12,46.63083,-123.231
17_VKL_8_2,47.84194,8.958392
17_VKL_8_3,47.84194,8.958392
14_LAG_6_B,56.98585,-4.40993
14_HUN_6_N1,50.81071,-0.78888
16_AMS_38_N1,54.13395,-165.777
12_DUD_44_N1_B,-45.88,170.59
10_HOU_2_N1,51.09699,-1.5084
10_QUA_8_N2_B,60.10456,-1.2268
16_PTR_5_A3,53.84158,-166.521
16_ANT_102_N1,57.86179,-152.652
CRZ4,32.13283,-111.073
17_VKL_11_3,47.84194,8.958392
10_DUR_5_N1,58.56842,-4.74708
17_VKL_11_2,47.84194,8.958392
14_CRO_10_N1,50.16293,-5.29331
CRZ1,32.13283,-111.073
10_DUM_4_N1,55.06738,-3.61335
THR21,44.10111,-121.623
16_DCR_10_N1,60.02973,-151.683
17_VKL_11_1,47.84194,8.958392
10_AYR_19_N1,55.4612,-4.62528
BSR21,40.52952,-124.163
16_VCC_4_N1,61.13814,-146.332
16_VCC_4_N2,61.13814,-146.332
BSR26,40.52952,-124.163
13_LOM_34_N1,56.12926,-4.61327
16_UNA_3_N1,53.8698,-166.446
16_VAT_6_N1,61.11486,-145.727
16_EBR_59_N1,53.90033,-166.466
16_LAU_9_N1,53.84003,-166.448
OZF9,38.95583,-123.66
10_BOD_2_N1,59.90418,-1.30274
