siteID_MAX1,areaCoverage_MAX1,siteID_Random2,areaCoverage_Radom2,siteID_Random3,areaCoverage_Radom3,siteID_Random4,areaCoverage_Radom4,siteID_Random5,areaCoverage_Radom5,siteID_Random6,areaCoverage_Radom6
TIN12,9.2454,LAY3,10.0187,ALH4,10.5941,SPRA,10.3875,MAD33,10.1861,FOL1,10.4542
ALH1,8.8906,CLO7,9.6548,CRE1,10.317,DRY4,10.0944,ALH5,9.8891,NOV3,10.1285
WLT1,8.543,MARA,9.3645,OJAI1,9.4749,NAP3,9.7463,LYN1,9.4548,DUN1,9.7965
HAM24,8.2073,SON7,9.0961,MAD26,9.2083,DUN1,9.4623,CEN1,9.1319,ALH5,9.5127
NOV3,7.8755,DRY4,8.8031,SPRA,8.9407,SON7,9.194,NAP3,8.7836,SPRA,9.2128
CEN1,7.5485,CEN1,8.4763,HAM22,8.6753,LYN1,8.7279,SPRA,8.5162,DRY3,8.9453
DIG5,7.2489,DIG5,8.1765,DUN7,8.4365,HAM21,8.4646,MARA,8.2356,DIG5,8.6527
DRY4,6.9558,MAD26,7.9099,CLO7,8.0726,SPRB,7.8125,DRY3,7.9429,TIN10,8.3529
MARA,6.6753,TIN12,7.5533,WLT1,7.725,SIL1,7.5877,TIN10,7.7023,SCL1,8.1121
CRE1,6.3983,CRE1,7.2762,SIL1,7.5002,MAD33,7.2436,HAM24,7.3748,CEN1,7.8722
SPRA,6.1307,HAM19,7.0561,MARA,7.2264,TIN6,7.0327,CRE2,7.1182,MARA,7.5494
DUN8,5.8897,DUN7,6.8173,CCNP3,6.7761,MARA,6.759,SON7,6.8896,HAM24,7.2688
SCL1,5.6498,MAD20,6.6331,MAD19,6.5714,ONED,6.5487,MAD20,6.6687,MAD20,6.9324
SIL1,5.4248,SPRA,6.3655,CR151,6.377,CR158,6.3483,SIL1,6.4439,SIL1,6.7147
HEA8,5.2164,CD165,6.1813,PO1,6.2165,MAD29,6.1576,MAD29,6.2537,MAD32,6.4899
CR156,5.0181,HEA8,5.9727,NOV3,5.8846,MAD19,5.9721,CR155,6.0681,CRE1,6.2776
SON5,4.8316,MAD33,5.8144,GRV1,5.7353,PO6,5.8151,UKI3,5.9176,CR158,6.0005
NA,NA,GRV1,5.6653,MAD41,5.5984,CRE1,5.538,PO6,5.7606,UKI3,5.8053
NA,NA,PO1,5.5048,CTW2,5.4288,MAD43,5.3836,NOV4,5.5764,MAD33,5.6292
NA,NA,SIL1,5.2798,UKI3,5.2783,HEA8,5.1751,MAD39,5.4333,SON5,5.4782
NA,NA,MAD43,5.1417,SON7,5.0495,UKI2,4.9998,GRV1,5.2841,MAD43,5.2915
NA,NA,SCL1,4.9018,PSK4,4.8935,NA,NA,MOH5,5.1615,CTW2,5.1431
NA,NA,NA,NA,NA,NA,NA,NA,CTW2,5.0208,MAD47,5.0024
NA,NA,NA,NA,NA,NA,NA,NA,KIN3,4.8844,NA,NA
