siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
TIN12,9.5927,TIN12,9.5927,TIN12,9.5927,TIN12,9.5927,TIN12,9.5927,TIN12,9.5927,TIN12,9.5927,TIN12,9.5927,TIN12,9.5927,TIN12,9.5927
MF38,9.1882,MF38,9.1882,MF38,9.1882,MF38,9.1882,MF38,9.1882,MF38,9.1882,MF38,9.1882,MF38,9.1882,MF38,9.1882,MF38,9.1882
CCNP3,8.7869,CCNP3,8.7869,CCNP3,8.7869,CCNP3,8.7869,CCNP3,8.7869,CCNP3,8.7869,CCNP3,8.7869,CCNP3,8.7869,CCNP3,8.7869,CCNP3,8.7869
SPRC,8.4062,SPRC,8.4062,SPRC,8.4062,SPRC,8.4062,SPRC,8.4062,SPRC,8.4062,SPRC,8.4062,SPRC,8.4062,SPRC,8.4062,SPRC,8.4062
NAP7,8.0363,NAP7,8.0363,NAP7,8.0363,NAP7,8.0363,NAP7,8.0363,NAP7,8.0363,NAP7,8.0363,NAP7,8.0363,NAP7,8.0363,NAP7,8.0363
MAD8,7.6724,MAD8,7.6724,MAD8,7.6724,MAD8,7.6724,MAD8,7.6724,MAD8,7.6724,MAD8,7.6724,MAD8,7.6724,MAD8,7.6724,MAD8,7.6724
MAD33,7.3194,MAD33,7.3194,MAD33,7.3194,MAD33,7.3194,MAD33,7.3194,MAD33,7.3194,MAD33,7.3194,MAD33,7.3194,MAD33,7.3194,MAD33,7.3194
DRY3,6.9676,DRY3,6.9676,DRY3,6.9676,DRY3,6.9676,DRY3,6.9676,DRY3,6.9676,DRY3,6.9676,DRY3,6.9676,DRY3,6.9676,DRY3,6.9676
GRV7,6.6386,GRV7,6.6386,GRV7,6.6386,GRV7,6.6386,GRV7,6.6386,GRV7,6.6386,GRV7,6.6386,GRV7,6.6386,GRV7,6.6386,GRV7,6.6386
COT2,6.324,COT5,6.324,COT5,6.324,COT5,6.324,COT5,6.324,COT5,6.324,COT4,6.324,COT5,6.324,COT1,6.324,COT2,6.324
HAT4,6.0171,HAT4,6.0171,HAT4,6.0171,HAT4,6.0171,HAT4,6.0171,HAT4,6.0171,HAT4,6.0171,HAT4,6.0171,HAT4,6.0171,HAT4,6.0171
JAS2,5.7121,JAS2,5.7121,JAS2,5.7121,JAS2,5.7121,JAS2,5.7121,JAS2,5.7121,JAS2,5.7121,JAS2,5.7121,JAS2,5.7121,JAS2,5.7121
CR152,5.4228,CR152,5.4228,CR152,5.4228,CR152,5.4228,CR152,5.4228,CR152,5.4228,CR152,5.4228,CR152,5.4228,CR152,5.4228,CR152,5.4228
ANG7,5.1656,ANG7,5.1656,ANG7,5.1656,ANG7,5.1656,ANG7,5.1656,ANG7,5.1656,ANG7,5.1656,ANG7,5.1656,ANG7,5.1656,ANG7,5.1656
ALH8,4.9459,ALH8,4.9459,ALH8,4.9459,ALH8,4.9459,ALH8,4.9459,ALH8,4.9459,ALH8,4.9459,ALH8,4.9459,ALH8,4.9459,ALH8,4.9459
