siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_10...5,areaCoverage_10...6,siteID_3,areaCoverage_3,siteID_10...9,areaCoverage_10...10,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_10...17,areaCoverage_10...18,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10...25,areaCoverage_10...26
LAY5,15.1493,LAY5,15.2174,NA,NA,MAD29,15.2664,NA,NA,LAY5,15.1171,LAY5,15.2518,MAD10,15.4487,NA,NA,MAD10,15.4291,PAT3,15.4377,MAD10,15.4453,LAY5,15.2028
MAD2,14.6539,ANG7,14.7171,NA,NA,LAY5,14.7564,NA,NA,MAD2,14.6218,ANG7,14.7516,LAY5,14.9388,NA,NA,LAY5,14.9193,LAY5,14.9278,LAY5,14.9355,MAD2,14.7073
KIN1,14.1615,MAD2,14.2217,NA,NA,ANG7,14.2561,NA,NA,KIN1,14.1295,MAD2,14.2563,ANG7,14.4386,NA,NA,MAD2,14.4238,ANG7,14.4276,MAD2,14.44,KIN1,14.215
SON7,13.673400000000001,KIN1,13.7293,NA,NA,MAD2,13.7607,NA,NA,SON7,13.6393,KIN1,13.7638,MAD2,13.9431,NA,NA,KIN1,13.9315,MAD2,13.9321,KIN1,13.9477,SON7,13.725
LYN2,13.2073,SON7,13.2393,NA,NA,KIN1,13.2685,NA,NA,LYN1,13.173400000000001,SON7,13.2738,KIN1,13.4508,NA,NA,SON7,13.4434,KIN1,13.4398,SON7,13.4596,LYN1,13.2589
ANG7,12.743,CCNP3,12.789,NA,NA,SON7,12.7785,NA,NA,ANG7,12.709,CCNP3,12.8235,SON7,12.9627,NA,NA,ANG7,12.979,SON7,12.9498,LYN1,12.9935,ANG7,12.7946
CCNP3,12.2926,JAS1,12.339,NA,NA,LYN1,12.3139,NA,NA,CCNP3,12.2587,JAS1,12.3736,LYN1,12.4966,NA,NA,CCNP3,12.5287,LYN1,12.4852,ANG7,12.5292,CCNP3,12.3442
JAS1,11.8426,LYN1,11.9045,NA,NA,CCNP3,11.8634,NA,NA,JAS1,11.8087,LYN1,11.9391,CCNP3,12.0461,NA,NA,JAS1,12.0788,CCNP3,12.0347,CCNP3,12.0788,JAS1,11.8942
COT1,11.4245,MAD24,11.4814,NA,NA,JAS1,11.4135,NA,NA,COT1,11.3904,COT1,11.521,JAS1,11.5961,NA,NA,LYN1,11.6445,JAS1,11.5848,JAS1,11.6288,MAD24,11.4711
BLU6,11.0332,COT1,11.0633,NA,NA,COT1,10.9954,NA,NA,ALH1,10.9871,BLU6,11.1295,COT1,11.178,NA,NA,COT1,11.2262,COT1,11.1667,COT1,11.2107,COT1,11.053
MC14,10.6546,ALH1,10.66,NA,NA,BLU6,10.6041,NA,NA,BLU6,10.5958,MC14,10.7511,ALH1,10.7747,NA,NA,BLU6,10.8349,BLU6,10.7754,BLU6,10.8194,ALH1,10.6496
