siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_10...9,areaCoverage_10...10,siteID_4,areaCoverage_4,siteID_10...13,areaCoverage_10...14,siteID_5,areaCoverage_5,siteID_10...17,areaCoverage_10...18,siteID_6,areaCoverage_6,siteID_10...21,areaCoverage_10...22,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_10...27,areaCoverage_10...28,siteID_9,areaCoverage_9,siteID_10...31,areaCoverage_10...32,siteID_10...33,areaCoverage_10...34
CRE3,51.8515,NA,NA,DIA1,51.7032,LYN1,52.2123,NA,NA,BS5,50.9069,NA,NA,SUN3,52.1179,NA,NA,FT9,51.1155,NA,NA,LYN6,52.3098,UKI2,51.9164,NA,NA,ORO2,51.8174,NA,NA,SUN8,52.4785
FT9,49.9858,NA,NA,FT8,49.84,FT9,50.3465,NA,NA,FT9,49.0412,NA,NA,UKI7,50.2445,NA,NA,LYN1,49.2461,NA,NA,UKI4,50.3641,SUN2,50.0581,NA,NA,UKI4,49.8717,NA,NA,BS1,50.6245
BS3,48.1317,NA,NA,BS3,47.9919,BS5,48.492,NA,NA,PSK4,47.2438,NA,NA,BS3,48.394,NA,NA,CRE2,47.2853,NA,NA,FT8,48.5008,PSK4,48.2607,NA,NA,BS5,48.0205,NA,NA,HEA2,48.529
SUN6,46.2996,NA,NA,SUN1,46.1407,SUN7,46.6436,NA,NA,LYN1,45.4521,NA,NA,MF34,46.5645,NA,NA,PSK4,45.4879,NA,NA,BS3,46.6468,BS5,46.4122,NA,NA,FT9,46.1547,NA,NA,CHI4,46.7219
LYN6,44.5311,NA,NA,CHI7,44.3444,CRE5,44.7885,NA,NA,CHI7,43.6558,NA,NA,MARG,44.7305,NA,NA,BS1,43.6398,NA,NA,SUN3,44.8142,LYN2,44.681,NA,NA,CTW6,44.2913,NA,NA,LYN1,44.9702
PSK2,42.7742,NA,NA,TAC1,42.6376,PSK4,43.006100000000004,NA,NA,TAC7,41.9413,NA,NA,CRE1,42.831,NA,NA,MARB,41.9021,NA,NA,CRE8,42.9845,TAC3,42.9801,NA,NA,LYN4,42.5264,NA,NA,DIA5,43.1534
ORO2,40.6842,NA,NA,MARD,40.9947,CHI3,41.1992,NA,NA,DUN7,40.3474,NA,NA,SPRA,41.2594,NA,NA,TAC1,40.1967,NA,NA,TAC6,41.281,ORO2,40.8845,NA,NA,MARB,40.7886,NA,NA,DUN5,41.4498
MARG,39.1006,NA,NA,LYN2,39.2634,TAC8,39.5074,NA,NA,MARA,38.768,NA,NA,CHI7,39.4631,NA,NA,PLA1,38.6679,NA,NA,PLA4,39.6928,MOD5,39.227,NA,NA,DUN8,39.1597,NA,NA,TAC7,39.7353
NOV1,37.4428,NA,NA,DUN8,37.6345,MOD8,37.8496,NA,NA,PLA2,37.244,NA,NA,CRP5,37.9632,NA,NA,NOV4,37.1597,NA,NA,MARA,38.1189,SPRC,37.7264,NA,NA,SPRA,37.5881,NA,NA,PLA1,38.1486
TAC7,35.7283,NA,NA,SPRC,36.1339,DUN8,36.2206,NA,NA,SPRA,35.6724,NA,NA,KIN3,36.5183,NA,NA,DUN7,35.531,NA,NA,PSK2,36.3767,CRP3,36.2265,NA,NA,TAC6,35.8861,NA,NA,NOV4,36.3675
PLA2,34.1962,NA,NA,PLA3,34.6504,MARC,34.466,NA,NA,CRP3,34.1726,NA,NA,PLA4,35.0382,NA,NA,SPRC,34.0304,NA,NA,MOD8,34.8234,PLA1,34.7174,NA,NA,UCD2,34.3652,NA,NA,MARA,34.7881
SPRC,32.6956,NA,NA,CRP5,33.1963,CRP3,32.9662,NA,NA,SCL1,32.7399,NA,NA,PSK2,33.2959,NA,NA,CRP1,32.5304,NA,NA,CRP3,33.3235,KIN2,33.2699,NA,NA,PSK4,32.6211,NA,NA,DRY3,33.3363
DRY3,31.2428,NA,NA,NOV4,31.7589,SON2,31.5758,NA,NA,DRY4,31.292,NA,NA,FOL6,31.9356,NA,NA,SCL1,31.0977,NA,NA,SCL1,31.8907,FOL1,31.8523,NA,NA,FOL5,31.2299,NA,NA,PSK2,31.6286
SON2,29.8593,NA,NA,PSK2,30.0167,FOL7,30.2134,NA,NA,FOL1,29.8732,NA,NA,WLT1,30.5998,NA,NA,ANG5,29.718,NA,NA,SIL1,30.4615,SCL1,30.4196,NA,NA,SCL1,29.7972,NA,NA,SIL1,30.1994
WLT1,28.4822,NA,NA,WLT1,28.6809,NOV3,28.8642,NA,NA,OJAI6,28.5441,NA,NA,OJAI6,29.2707,NA,NA,WLT1,28.3406,NA,NA,SPRA,28.8899,MARA,28.8402,NA,NA,NOV3,28.3538,NA,NA,CRP1,28.712
KIN2,27.0346,NA,NA,DRY4,27.2281,SPRC,27.3636,NA,NA,NOV4,27.0306,NA,NA,ANG2,27.893,NA,NA,FOL4,26.9715,NA,NA,KIN2,27.4456,OJAI3,27.5159,NA,NA,SIL1,26.9246,NA,NA,SPRB,27.1531
CRP5,25.5803,NA,NA,SON1,25.8442,DRY3,26.0179,NA,NA,MRD2C,25.7513,NA,NA,CHE100x,26.5747,NA,NA,DRY3,25.63,NA,NA,FOL7,26.081,NOV3,26.1669,NA,NA,OJAI1,25.605,NA,NA,MCL2,25.8275
OJAI3,24.256,NA,NA,OJAI3,24.5198,OJAI4,24.6954,NA,NA,SON2,24.3754,NA,NA,MRD3,25.2955,NA,NA,OJAI3,24.3057,NA,NA,ANG5,24.699,SON2,24.791,NA,NA,MRD2C,24.3225,NA,NA,SON2,24.4441
CVB6,23.0437,NA,NA,CHE100x,23.2015,CHE102x,23.3781,NA,NA,UCD2,23.1399,NA,NA,DRY4,23.9504,NA,NA,MOD4,23.0078,NA,NA,OJAI6,23.3699,MRD5,23.5079,NA,NA,CLO5,23.1275,NA,NA,OJAI1,23.1244
CLO3,21.8703,NA,NA,SIL1,21.7723,CLO4,22.1849,NA,NA,COT4,22.0578,NA,NA,SUG3,22.6094,NA,NA,MRD2C,21.7285,NA,NA,CLO5,22.1949,WLT4,22.2169,NA,NA,ANG2,21.7478,NA,NA,WLT1,21.7887
DUN7,20.723,NA,NA,MRD5,20.4967,COT2,21.1032,NA,NA,WLT1,20.6804,NA,NA,DUN5,21.456,NA,NA,CLO3,20.5163,NA,NA,DUN7,21.0458,CLO2,21.0223,NA,NA,CRP3,20.5755,NA,NA,SCL1,20.3559
COT5,19.6404,NA,NA,CLO2,19.3191,MRD2C,19.8239,NA,NA,HV5,19.6785,NA,NA,CLO7,20.334,NA,NA,SW664,19.4973,NA,NA,MRD2C,19.7632,COT2,19.9407,NA,NA,WLT1,19.1983,NA,NA,HV4A,19.3298
SUG3,18.7287,NA,NA,MOD4,18.0213,SIL1,18.4151,NA,NA,CLO7,18.5141,NA,NA,COT2,19.2524,NA,NA,CHE100x,18.4998,NA,NA,COT4,18.6812,SIL1,18.5331,NA,NA,COT2,18.1167,NA,NA,UCD2,18.3537
UCD3,17.7653,NA,NA,COT5,16.9387,SCL1,17.303,NA,NA,MAD9,17.6256,NA,NA,TAC7,18.2703,NA,NA,SUN5,17.5759,NA,NA,NOV4,17.6745,HV4A,17.5338,NA,NA,CHE922,17.1221,NA,NA,MRD2C,17.0764
RDD5,16.8862,NA,NA,RDD5,16.0589,KIN3,16.3238,NA,NA,SUN1,16.6911,NA,NA,RDD6,17.3901,NA,NA,RDD7,16.6919,NA,NA,CHE100x,16.677,SUG6,16.5723,NA,NA,RDD6,16.2433,NA,NA,CLO2,16.1696
PO6,16.0075,NA,NA,KIN1,15.1137,SUG6,15.3383,NA,NA,SIL1,15.3259,NA,NA,NOV3,16.4284,NA,NA,KIN1,15.7468,NA,NA,DRY3,15.2281,DUN7,15.4251,NA,NA,PO6,15.3646,NA,NA,RDD7,15.2855
NIC6,15.1894,NA,NA,NIC6,14.3098,ROV2,14.5361,NA,NA,ALH4,14.442,NA,NA,SCL1,15.3165,NA,NA,PO6,14.848,NA,NA,RDD5,14.3951,PO6,14.5263,NA,NA,MOD4,14.5712,NA,NA,PO6,14.385
PRI5,14.1561,NA,NA,PO6,13.4111,NIC6,13.737,NA,NA,RDD6,13.5628,NA,NA,FT9,14.461,NA,NA,ALH2,13.9663,NA,NA,NIC6,13.5961,RRD4,13.6502,NA,NA,KIN1,13.626,NA,NA,SW664,13.3661
HH6,13.4094,NA,NA,HH2,12.6629,PO6,12.9136,NA,NA,SUG6,12.7476,NA,NA,HH1,13.7131,NA,NA,NIC6,13.1673,NA,NA,GRV1,12.8214,HH2,12.8993,NA,NA,HH3,12.8766,NA,NA,HH5,12.6204
FHL5,12.6908,NA,NA,FHL5,11.939,MAD9,12.1538,NA,NA,KIN3,11.9454,NA,NA,SIL1,12.3479,NA,NA,SUG7,12.3679,NA,NA,HH1,12.0734,NIC9,12.0968,NA,NA,FHL4,12.1533,NA,NA,COT5,11.9022
MAD5,11.9041,NA,NA,MAD6,11.2411,WLT4,10.8911,NA,NA,PO6,11.0667,NA,NA,PO1,11.4695,NA,NA,HH3,11.621,NA,NA,FHL4,11.3546,FHL5,11.3729,NA,NA,NIC10,11.412,NA,NA,KIN3,10.9927
MRD3,11.2534,NA,NA,SUG3,10.4623,HH8,10.1417,NA,NA,HH3,10.3172,NA,NA,FHL8,10.7511,NA,NA,COT5,10.9029,NA,NA,MAD5,10.639,DRY4,9.925,NA,NA,SUG6,10.6399,NA,NA,SUG6,10.303
ROV4,10.5794,NA,NA,DIG5,9.7934,RDD7,9.2562,NA,NA,NIC9,9.5789,NA,NA,NIC10,9.9497,NA,NA,MAD6,10.2049,NA,NA,LAY10,9.8984,MAD5,9.2113,NA,NA,MAD6,9.9419,NA,NA,MAD6,9.6206
BEL6,10.0369,NA,NA,ROV1,9.1165,DIG5,8.6041,NA,NA,FHL4,8.9012,NA,NA,ROV1,9.2729,NA,NA,ROV4,9.5309,NA,NA,PO1,9.1124,UCD2,8.5388,NA,NA,DIG5,9.1788,NA,NA,NIC6,8.881
SCL1,8.7578,NA,NA,SW664,8.462,FHL8,7.9321,NA,NA,DIG5,8.2248,NA,NA,DIG5,8.5965,NA,NA,FHL2,8.8551,NA,NA,MTR5,8.5594,ROV1,7.8216,NA,NA,ROV2,8.5018,NA,NA,ROV2,8.204
DIG5,8.103,NA,NA,BEL4,7.9231,UCD3,7.2743,NA,NA,ROV3,7.5472,NA,NA,MAD5,7.8877,NA,NA,SIL1,7.4472,NA,NA,TIN12,8.0203,SW664,7.166,NA,NA,BEL4,7.96,NA,NA,FHL2,7.5282
MTR5,7.5616,NA,NA,TIN8,7.4128,MTR5,6.7329,NA,NA,MTR5,6.9944,NA,NA,MTR3,7.3412,NA,NA,BEL4,6.92,NA,NA,BEL4,7.4895,MTR3,6.6081,NA,NA,DRY3,6.7014,NA,NA,DIG5,6.8734
TIN10,7.0551,NA,NA,UCD2,6.7536,TIN10,6.2264,NA,NA,MOD8,6.2213,NA,NA,UCD3,6.6822,NA,NA,MTR4,6.3652,NA,NA,SW664,6.8345,DIG5,5.9419,NA,NA,MTR3,6.1551,NA,NA,BEL6,6.3313
SIL1,5.685,NA,NA,MTR7,6.2202,MOH3,5.8157,NA,NA,TIN5,5.7476,NA,NA,TIN6,6.1859,NA,NA,UCD3,5.7071,NA,NA,DAN2,6.3882,BEL6,5.4106,NA,NA,TIN1,5.6614,NA,NA,TIN5,5.8347
MOH8,5.2701,NA,NA,MOH3,5.8335,BEL3,5.2747,NA,NA,SW664,5.0926,NA,NA,BEL3,5.6474,NA,NA,PRI5,5.2722,NA,NA,MOH3,5.9768,TIN10,4.9008,NA,NA,MOH2,5.2865,NA,NA,MOH3,5.4234
CCNP3,4.8656,NA,NA,PRI5,5.4136,RED1,5.0139,NA,NA,MOH3,4.7194,NA,NA,PRI5,5.2244,NA,NA,TIN1,4.8022,NA,NA,PAT1,5.5769,NA,NA,NA,NA,MAD15,4.959,NA,NA,MAD23,5.0694
NA,NA,NA,NA,RED7,5.0317,DAN2,4.5795,NA,NA,NA,NA,NA,NA,RED7,4.8416,NA,NA,NA,NA,NA,NA,ROV2,5.2172,NA,NA,NA,NA,NA,NA,NA,NA,PRI5,4.6345
NA,NA,NA,NA,MAD18,4.7042,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,UCD3,4.5595,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
