siteID_1,areaCoverage_1,siteID_10...3,areaCoverage_10...4,siteID_2,areaCoverage_2,siteID_10...7,areaCoverage_10...8,siteID_3,areaCoverage_3,siteID_10...11,areaCoverage_10...12,siteID_4,areaCoverage_4,siteID_10...15,areaCoverage_10...16,siteID_5,areaCoverage_5,siteID_10...19,areaCoverage_10...20,siteID_6,areaCoverage_6,siteID_10...23,areaCoverage_10...24,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_10...29,areaCoverage_10...30,siteID_9,areaCoverage_9,siteID_10...33,areaCoverage_10...34,siteID_10...35,areaCoverage_10...36
HOC25,51.2247,NA,NA,CAN68,51.2396,NA,NA,HOC26,51.2725,NA,NA,CAN68,51.2197,NA,NA,16_FPA_22_N1,51.2324,NA,NA,NOF1,51.2055,NA,NA,HOC26,51.2574,TAR3,51.4205,NA,NA,16_FPA_44_N1,51.2594,NA,NA,EAF3,51.2396
SHC1,49.6172,NA,NA,EAF3,49.5545,NA,NA,SHC1,49.665,NA,NA,HOC25,49.5868,NA,NA,SHC1,49.6249,NA,NA,OZF10,49.5474,NA,NA,16_FPA_26_N1,49.6467,SHC2,49.813,NA,NA,CAN68,49.5894,NA,NA,SHC2,49.6321
TAR3,48.0562,NA,NA,16_FPA_26_N1,47.9438,NA,NA,16_FPA_44_N1,48.0541,NA,NA,SHC1,47.9793,NA,NA,HAM6,48.104,NA,NA,HOC25,47.9145,NA,NA,RGR15,47.9617,CAN68,48.143,NA,NA,RGR15,47.9044,NA,NA,IM6,47.9597
16_FPA_22_N1,46.4455,NA,NA,IM10,46.2714,NA,NA,MIF1,46.3692,NA,NA,IM10,46.307,NA,NA,OZF9,46.4459,NA,NA,16_FPA_44_N1,46.3035,NA,NA,OZF9,46.3035,16_KFC_5_N1,46.6346,NA,NA,MIF1,46.2193,NA,NA,MIF1,46.2747
CAN68,44.7753,NA,NA,SHC2,44.6639,NA,NA,TAR3,44.8083,NA,NA,16_KFC_5_N1,44.7986,NA,NA,16_KFC_5_N1,44.9375,NA,NA,THR21,44.6336,NA,NA,16_KFC_5_N1,44.7951,M2L4,44.9968,NA,NA,HAM19,44.6984,NA,NA,HAM102,44.7538
M2L4,43.1377,NA,NA,HAM6,43.143,NA,NA,HAM19,43.2874,NA,NA,16_FPA_44_N1,43.1876,NA,NA,CVG19,43.4354,NA,NA,SHC1,43.0261,NA,NA,SHC2,43.1876,THR21,43.3268,NA,NA,TAR3,43.1374,NA,NA,16_FPA_22_N1,43.143
16_KFC_19_N1,41.6293,NA,NA,TAR3,41.5821,NA,NA,16_KFC_30_N1,41.779,NA,NA,CVG10,41.6855,NA,NA,HOC25,41.8022,NA,NA,TAR3,41.4651,NA,NA,HAM102,41.6667,CVG19,41.8244,NA,NA,16_KFC_30_N1,41.629,NA,NA,16_KFC_19_N1,41.6346
CVG10,40.1269,NA,NA,MIF1,39.897,NA,NA,16_UNA_2_N1,40.2865,NA,NA,16_UNA_3_N1,40.193,NA,NA,TAR3,40.2413,NA,NA,HAM6,39.9442,NA,NA,16_UNA_1_N1,40.1745,HAM6,40.3035,NA,NA,HOC25,39.9961,NA,NA,M2L4,39.9968
HAM19,38.606,NA,NA,16_KCG_37_N1,38.4039,NA,NA,16_SZA_88_N1,38.896,NA,NA,THR21,38.5231,NA,NA,16_PEW_2_D,38.7818,NA,NA,CVG19,38.4418,NA,NA,16_SZA_88_N1,38.7837,16_UNA_2_N1,38.8111,NA,NA,16_UNA_2_N1,38.5037,NA,NA,RGR15,38.3117
16_UNA_2_N1,37.1135,NA,NA,16_PEW_2_E,36.9444,NA,NA,OZF9,37.2378,NA,NA,16_SZA_86_N1,37.1323,NA,NA,16_CTA_26_N1,37.3634,NA,NA,16_UNA_1_A5,36.9496,NA,NA,CVG10,37.2816,16_SZA_90_N1,37.4205,NA,NA,M2L4,36.8658,NA,NA,16_CTA_28_N1,36.8934
