siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
16_KFC_5_N1,33.8122,16_KFC_19_N1,33.8122,16_KFC_30_N1,33.8122,16_KFC_5_N1,33.8122,16_KFC_5_N1,33.8122,16_KFC_19_N1,33.8122,16_KFC_5_N1,33.8122,16_KFC_19_N1,33.8122,16_KFC_5_N1,33.8122,16_KFC_30_N1,33.8122
16_CTA_28_N1,32.3938,16_CTA_28_N1,32.3938,16_CTA_26_N1,32.3938,16_CTA_26_N1,32.3938,16_CTA_26_N1,32.3938,16_CTA_26_N1,32.3938,16_CTA_28_N1,32.3938,16_CTA_28_N1,32.3938,16_CTA_26_N1,32.3938,16_CTA_26_N1,32.3938
16_SZA_90_N1,31.0031,16_SZA_88_N1,31.0031,16_SZA_86_N1,31.0031,16_SZA_88_N1,31.0031,16_SZA_90_N1,31.0031,16_SZA_88_N1,31.0031,16_SZA_90_N1,31.0031,16_SZA_86_N1,31.0031,16_SZA_90_N1,31.0031,16_SZA_90_N1,31.0031
FEV11,29.7029,FEV11,29.7029,FEV11,29.7029,FEV11,29.7029,FEV11,29.7029,FEV11,29.7029,FEV11,29.7029,FEV11,29.7029,FEV11,29.7029,FEV11,29.7029
WKY2,28.414,WKY1,28.414,WKY3,28.414,WKY2,28.414,WKY2,28.414,WKY3,28.414,WKY2,28.414,WKY1,28.414,WKY3,28.414,WKY3,28.414
16_AKC_14_N1,27.1419,16_AKC_41_N1,27.1419,16_AKC_14_N1,27.1419,16_AKC_41_N1,27.1419,16_AKC_41_N1,27.1419,16_AKC_14_N1,27.1419,16_AKC_14_N1,27.1419,16_AKC_41_N1,27.1419,16_AKC_41_N1,27.1419,16_AKC_41_N1,27.1419
MUG3,25.8721,MUG3,25.8721,MUG3,25.8721,MUG1,25.8721,MUG3,25.8721,MUG3,25.8721,MUG3,25.8721,MUG1,25.8721,MUG1,25.8721,MUG3,25.8721
16_AMS_32_N1,24.6062,16_AMS_32_N1,24.6062,16_AMS_10_N1_B,24.6062,16_AMS_32_N1,24.6062,16_AMS_32_N1,24.6062,16_AMS_10_N1_B,24.6062,16_AMS_32_N1,24.6062,16_AMS_10_N1_B,24.6062,16_AMS_10_N1_B,24.6062,16_AMS_38_N1,24.6062
PCL20,23.3416,PCL3,23.3416,PCL20,23.3416,PCL3,23.3416,PCL3,23.3416,PCL20,23.3416,PCL3,23.3416,PCL3,23.3416,PCL20,23.3416,PCL3,23.3416
STB7,22.1168,STB7,22.1168,STB7,22.1168,STB18,22.1168,STB18,22.1168,STB7,22.1168,STB18,22.1168,STB18,22.1168,STB7,22.1168,STB18,22.1168
