siteID_1,areaCoverage_1,siteID_2,areaCoverage_2,siteID_3,areaCoverage_3,siteID_4,areaCoverage_4,siteID_5,areaCoverage_5,siteID_6,areaCoverage_6,siteID_7,areaCoverage_7,siteID_8,areaCoverage_8,siteID_9,areaCoverage_9,siteID_10,areaCoverage_10
16_AKC_14_N1,11.5405,16_AKC_41_N1,11.5405,16_AKC_14_N1,11.5405,16_AKC_14_N1,11.5405,16_AKC_14_N1,11.5405,16_AKC_41_N1,11.5405,16_AKC_14_N1,11.5405,16_AKC_14_N1,11.5405,16_AKC_41_N1,11.5405,16_AKC_41_N1,11.5405
OSW13,10.6135,OSW13,10.6135,OSW13,10.6135,OSW25,10.6135,OSW25,10.6135,OSW25,10.6135,OSW25,10.6135,OSW25,10.6135,OSW13,10.6135,OSW13,10.6135
AWP27,9.7073,AWP26,9.7073,AWP26,9.7073,AWP27,9.7073,AWP27,9.7073,AWP26,9.7073,AWP27,9.7073,AWP26,9.7073,AWP27,9.7073,AWP26,9.7073
16_VAL_14_N1,8.9185,16_VAL_14_N1,8.9185,16_VAL_13_N1,8.9185,16_VAL_14_N1,8.9185,16_VAL_14_N1,8.9185,16_VAL_15_N1,8.9185,16_VAL_14_N1,8.9185,16_VAL_14_N1,8.9185,16_VAL_15_N1,8.9185,16_VAL_15_N1,8.9185
THR21,8.1795,THR21,8.1795,THR21,8.1795,THR21,8.1795,THR21,8.1795,THR21,8.1795,THR21,8.1795,THR21,8.1795,THR21,8.1795,THR21,8.1795
BEL1,7.5124,BEL4,7.5124,BEL1,7.5124,BEL1,7.5124,BEL3,7.5124,BEL3,7.5124,BEL1,7.5124,BEL4,7.5124,BEL4,7.5124,BEL3,7.5124
16_DCR_9_N1,6.8553,16_DCR_10_N1,6.8553,16_DCR_10_N1,6.8553,16_DCR_10_N1,6.8553,16_DCR_9_N1,6.8553,16_DCR_10_N1,6.8553,16_DCR_10_N1,6.8553,16_DCR_10_N1,6.8553,16_DCR_9_N1,6.8553,16_DCR_9_N1,6.8553
WKY3,6.212,WKY2,6.212,WKY1,6.212,WKY1,6.212,WKY3,6.212,WKY1,6.212,WKY1,6.212,WKY2,6.212,WKY1,6.212,WKY2,6.212
TSG24,5.6557,TSG25,5.6557,TSG25,5.6557,TSG21,5.6557,TSG21,5.6557,TSG21,5.6557,TSG25,5.6557,TSG24,5.6557,TSG25,5.6557,TSG25,5.6557
SHC2,5.123,SHC2,5.123,SHC1,5.123,SHC2,5.123,SHC1,5.123,SHC2,5.123,SHC1,5.123,SHC1,5.123,SHC1,5.123,SHC2,5.123
03_V153408_N2,4.5933,03_V153408_N2,4.5933,03_V153408_N3,4.5933,03_V153408_N2,4.5933,03_V153408_N3,4.5933,03_V153408_N2,4.5933,03_V153408_N2,4.5933,03_V153408_N1,4.5933,03_V153408_N1,4.5933,03_V153408_N2,4.5933
