SPEC	FID	GEO	LAT	LON	POPTYPE
labrusca	087_5	Connecticut	41.43505	-72.21359	Wild
labrusca	087_6	Connecticut	41.43505	-72.21359	Wild
labrusca	094_1	Connecticut	41.68021	-71.85046	Wild
labrusca	094_2	Connecticut	41.68021	-71.85046	Wild
labrusca	094_3	Connecticut	41.68021	-71.85046	Wild
labrusca	094_4	Connecticut	41.68021	-71.85046	Wild
labrusca	094_5	Connecticut	41.68021	-71.85046	Wild
labrusca	095_1	Connecticut	41.71432	-71.97076	Wild
labrusca	095_2	Connecticut	41.71432	-71.97076	Wild
labrusca	095_3	Connecticut	41.71432	-71.97076	Wild
labrusca	095_4	Connecticut	41.71432	-71.97076	Wild
labrusca	096_1	Connecticut	41.71432	-71.97076	Wild
labrusca	096_2	Connecticut	41.71432	-71.97076	Wild
labrusca	096_3	Connecticut	41.71432	-71.97076	Wild
labrusca	096_4	Connecticut	41.71432	-71.97076	Wild
labrusca	096_5	Connecticut	41.71432	-71.97076	Wild
labrusca	098_1	Connecticut	41.85424	-71.95901	Wild
labrusca	098_3	Connecticut	41.85424	-71.95901	Wild
labrusca	098_4	Connecticut	41.85424	-71.95901	Wild
labrusca	098_5	Connecticut	41.85424	-71.95901	Wild
labrusca	099_1	Connecticut	41.9233	-71.95676	Wild
labrusca	099_4	Connecticut	41.9233	-71.95676	Wild
labrusca	099_5	Connecticut	41.9233	-71.95676	Wild
labrusca	101_2	Connecticut	42.00775	-72.0016	Wild
labrusca	101_3	Connecticut	42.00775	-72.0016	Wild
labrusca	102_10	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_11	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_12	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_3	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_4	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_8	Massachusetts	42.43742	-72.09459	Wild
labrusca	102_9	Massachusetts	42.43742	-72.09459	Wild
labrusca	103_1	Massachusetts	42.45481	-72.09194	Wild
labrusca	103_2	Massachusetts	42.45481	-72.09194	Wild
labrusca	103_3	Massachusetts	42.45481	-72.09194	Wild
labrusca	103_4	Massachusetts	42.45481	-72.09194	Wild
labrusca	104_2	Massachusetts	42.54595	-72.07526	Wild
labrusca	104_4	Massachusetts	42.54595	-72.07526	Wild
labrusca	104_5	Massachusetts	42.54595	-72.07526	Wild
labrusca	105_1	Massachusetts	42.5611	-72.04062	Wild
labrusca	105_2	Massachusetts	42.5611	-72.04062	Wild
labrusca	105_4	Massachusetts	42.5611	-72.04062	Wild
labrusca	105_5	Massachusetts	42.5611	-72.04062	Wild
labrusca	106_1	Massachusetts	42.62283	-71.92645	Wild
labrusca	106_2	Massachusetts	42.62283	-71.92645	Wild
labrusca	106_3	Massachusetts	42.62283	-71.92645	Wild
labrusca	106_4	Massachusetts	42.62283	-71.92645	Wild
labrusca	106_5	Massachusetts	42.62283	-71.92645	Wild
labrusca	107_1	Massachusetts	42.70262	-71.78799	Wild
labrusca	107_2	Massachusetts	42.70262	-71.78799	Wild
labrusca	107_4	Massachusetts	42.70262	-71.78799	Wild
labrusca	107_5	Massachusetts	42.70262	-71.78799	Wild
labrusca	108_10	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_2	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_3	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_4	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_5	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_6	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_7	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_8	New Hampshire	42.87887	-71.61115	Wild
labrusca	108_9	New Hampshire	42.87887	-71.61115	Wild
labrusca	109_1	New Hampshire	42.87887	-71.61115	Wild
labrusca	109_2	New Hampshire	42.87887	-71.61115	Wild
labrusca	109_3	New Hampshire	42.87887	-71.61115	Wild
labrusca	109_4	New Hampshire	42.87887	-71.61115	Wild
labrusca	110_2	New Hampshire	43.08684	-71.27523	Wild
labrusca	110_3	New Hampshire	43.08684	-71.27523	Wild
labrusca	110_4	New Hampshire	43.08684	-71.27523	Wild
labrusca	110_5	New Hampshire	43.08684	-71.27523	Wild
labrusca	111_5	New Hampshire	43.10802	-71.24146	Wild
labrusca	112_1	Maine	43.45983	-70.76898	Wild
labrusca	112_2	Maine	43.45983	-70.76898	Wild
labrusca	112_3	Maine	43.45983	-70.76898	Wild
labrusca	112_4	Maine	43.45983	-70.76898	Wild
labrusca	112_5	Maine	43.45983	-70.76898	Wild
labrusca	113_1	Maine	43.72995	-70.8378	Wild
labrusca	113_10	Maine	43.72995	-70.8378	Wild
labrusca	113_2	Maine	43.72995	-70.8378	Wild
labrusca	113_3	Maine	43.72995	-70.8378	Wild
labrusca	113_4	Maine	43.72995	-70.8378	Wild
labrusca	113_6	Maine	43.72995	-70.8378	Wild
labrusca	113_8	Maine	43.72995	-70.8378	Wild
labrusca	113_9	Maine	43.72995	-70.8378	Wild
labrusca	114_1	New Hampshire	43.79543	-70.99704	Wild
labrusca	114_2	New Hampshire	43.79543	-70.99704	Wild
labrusca	114_3	New Hampshire	43.79543	-70.99704	Wild
labrusca	114_4	New Hampshire	43.79543	-70.99704	Wild
labrusca	114_5	New Hampshire	43.79543	-70.99704	Wild
labrusca	115_1	New Hampshire	43.82967	-70.28747	Wild
labrusca	115_2	New Hampshire	43.82967	-70.28747	Wild
labrusca	115_3	New Hampshire	43.82967	-70.28747	Wild
labrusca	115_4	New Hampshire	43.82967	-70.28747	Wild
labrusca	115_5	New Hampshire	43.82967	-70.28747	Wild
